Price,Levy,Manufacturer,Category,Leather_Interior,Fuel_Type,Engine_Volume,Mileage,Cylinders,Gear_Box_Type,Drive_Wheels,Doors,Wheel,Color,Airbags,Levy_missing,Is_Turbo,Car_Age
13328,1399.0,LEXUS,Jeep,Yes,Hybrid,3.5,186005.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,0,16
16621,1018.0,CHEVROLET,Jeep,No,Petrol,3.0,192000.0,6.0,Tiptronic,4x4,4-5,Left wheel,Black,8,0,0,15
8467,779.0,HONDA,Hatchback,No,Petrol,1.3,200000.0,4.0,Variator,Front,4-5,Right-hand drive,Black,2,1,0,20
3607,862.0,FORD,Jeep,Yes,Hybrid,2.5,168966.0,4.0,Automatic,4x4,4-5,Left wheel,White,0,0,0,15
11726,446.0,HONDA,Hatchback,Yes,Petrol,1.3,91901.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,12
39493,891.0,HYUNDAI,Jeep,Yes,Diesel,2.0,160931.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,0,10
1803,761.0,TOYOTA,Hatchback,Yes,Hybrid,1.8,258909.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,0,16
549,751.0,HYUNDAI,Sedan,Yes,Petrol,2.4,216118.0,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,0,13
1098,394.0,TOYOTA,Sedan,Yes,Hybrid,2.5,398069.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,0,12
26657,779.0,LEXUS,Jeep,Yes,Petrol,3.5,128500.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,1,0,19
941,1053.0,MERCEDES-BENZ,Sedan,Yes,Diesel,3.5,184467.0,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,0,12
8781,779.0,FORD,Microbus,No,CNG,4.0,0.0,8.0,Manual,Rear,2-3,Left wheel,Blue,0,1,0,27
3000,779.0,OPEL,Goods wagon,No,CNG,1.6,350000.0,4.0,Manual,Front,4-5,Left wheel,White,4,1,0,29
1019,1055.0,LEXUS,Jeep,Yes,Hybrid,3.5,138038.0,6.0,Automatic,Front,4-5,Left wheel,White,12,0,0,13
549,1079.0,TOYOTA,Jeep,Yes,Petrol,2.0,74146.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,0,8
7683,810.0,HYUNDAI,Sedan,Yes,Petrol,1.8,121840.0,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,0,10
28382,810.0,HYUNDAI,Sedan,Yes,Petrol,1.8,54317.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0,0,10
549,2386.0,HYUNDAI,Sedan,Yes,Petrol,3.3,295059.0,6.0,Automatic,Rear,4-5,Left wheel,Blue,12,0,0,20
941,1850.0,LEXUS,Jeep,Yes,Hybrid,3.5,364523.0,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,0,18
18826,531.0,HYUNDAI,Sedan,Yes,Petrol,1.6,112645.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,14
20698,586.0,TOYOTA,Sedan,Yes,Plug-in Hybrid,1.8,187000.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,0,14
17562,1249.0,TOYOTA,Sedan,Yes,Petrol,2.5,39709.0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,0,9
7840,779.0,FORD,Microbus,No,Diesel,2.0,230000.0,4.0,Manual,Front,2-3,Left wheel,White,0,1,1,25
4704,779.0,OPEL,Sedan,No,Petrol,1.8,0.0,4.0,Automatic,Front,4-5,Left wheel,Green,4,1,0,31
20385,779.0,MERCEDES-BENZ,Sedan,Yes,Diesel,2.2,210000.0,4.0,Tiptronic,Rear,4-5,Left wheel,Black,8,1,1,20
549,2455.0,LEXUS,Jeep,Yes,Petrol,4.7,0.0,8.0,Automatic,4x4,4-5,Left wheel,White,0,0,0,18
14454,583.0,HYUNDAI,Sedan,Yes,Petrol,1.6,158787.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,15
12074,1537.0,TOYOTA,Jeep,Yes,Hybrid,3.3,420550.0,6.0,Automatic,4x4,4-5,Left wheel,Blue,12,0,0,17
15681,1288.0,MERCEDES-BENZ,Goods wagon,No,Diesel,2.0,180000.0,6.0,Manual,Rear,4-5,Left wheel,White,4,0,1,19
19444,915.0,Other,Jeep,Yes,Diesel,3.0,175056.0,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,0,12
6899,779.0,BMW,Jeep,Yes,CNG,4.4,200000.0,8.0,Automatic,4x4,4-5,Left wheel,Silver,6,1,0,26
125,1750.0,TOYOTA,Sedan,Yes,Hybrid,3.3,287274.0,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,0,18
24462,779.0,Other,Jeep,Yes,Diesel,3.0,250000.0,6.0,Tiptronic,4x4,4-5,Left wheel,Black,10,1,1,19
23235,707.0,HYUNDAI,Jeep,Yes,Diesel,2.0,162000.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,0,15
7527,1486.0,HONDA,Hatchback,No,Hybrid,1.3,158000.0,4.0,Automatic,Front,4-5,Right-hand drive,Black,4,0,0,16
19121,531.0,HYUNDAI,Sedan,Yes,Petrol,1.6,103490.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,14
314,1399.0,LEXUS,Jeep,Yes,Hybrid,3.5,382746.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,0,16
24462,751.0,TOYOTA,Sedan,Yes,Petrol,2.4,203200.0,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,0,13
45734,1091.0,HYUNDAI,Universal,Yes,Diesel,2.5,61057.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,0,10
20165,650.0,VOLKSWAGEN,Sedan,Yes,Petrol,1.4,11200.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,8,0,1,10
21326,382.0,HYUNDAI,Sedan,Yes,Hybrid,2.4,141000.0,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,0,12
549,1436.0,Other,Jeep,Yes,Petrol,3.6,160259.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,0,16
220,1194.0,TOYOTA,Jeep,Yes,Petrol,4.0,239342.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,0,13
15681,503.0,TOYOTA,Hatchback,No,Hybrid,1.5,128000.0,4.0,Variator,Front,4-5,Left wheel,Sky blue,8,0,0,14
12544,779.0,TOYOTA,Hatchback,No,Hybrid,1.5,141500.0,4.0,Automatic,Front,4-5,Right-hand drive,Black,8,1,0,14
17249,779.0,FORD,Jeep,No,Hybrid,2.3,147000.0,4.0,Variator,4x4,4-5,Left wheel,White,8,1,0,18
34889,891.0,HONDA,Sedan,Yes,Petrol,2.0,87768.0,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,0,10
862,1104.0,AUDI,Jeep,Yes,Petrol,3.0,264014.0,6.0,Automatic,4x4,4-5,Left wheel,Black,0,0,0,11
14583,779.0,Other,Sedan,No,Diesel,1.5,132542.0,4.0,Manual,Front,4-5,Left wheel,White,10,1,1,18
392,1017.0,MERCEDES-BENZ,Sedan,Yes,Petrol,2.0,1600.0,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,0,9
38500,639.0,AUDI,Jeep,Yes,Petrol,2.0,87000.0,1.0,Tiptronic,4x4,4-5,Left wheel,White,12,0,0,12
8781,779.0,MERCEDES-BENZ,Coupe,No,Petrol,2.0,260000.0,4.0,Manual,Rear,2-3,Left wheel,Blue,0,1,0,25
1411,629.0,NISSAN,Jeep,Yes,Petrol,1.6,87112.0,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,0,11
392,919.0,BMW,Sedan,Yes,Petrol,3.0,204318.0,6.0,Automatic,Rear,4-5,Left wheel,Black,12,0,0,14
23521,781.0,CHEVROLET,Sedan,No,Petrol,1.4,22000.0,4.0,Automatic,Front,4-5,Left wheel,Red,6,0,1,8
16935,530.0,FORD,Sedan,No,Petrol,1.6,83000.0,4.0,Tiptronic,Front,4-5,Left wheel,Silver,8,0,1,13
10349,779.0,TOYOTA,Minivan,Yes,Petrol,2.4,170000.0,4.0,Automatic,Front,4-5,Right-hand drive,Black,6,1,0,19
7213,530.0,NISSAN,Jeep,Yes,Petrol,1.6,312118.0,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,0,13
5331,779.0,MERCEDES-BENZ,Sedan,No,Petrol,1.6,130000.0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,1,0,22
20526,640.0,HYUNDAI,Jeep,Yes,Diesel,2.0,200279.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,0,13
9722,765.0,HYUNDAI,Sedan,Yes,LPG,2.0,719847.0,4.0,Automatic,Front,4-5,Left wheel,Orange,4,0,0,11
34657,777.0,HYUNDAI,Minivan,Yes,Diesel,2.5,154672.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,12
36564,1091.0,HYUNDAI,Minivan,Yes,Diesel,2.5,110969.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,0,10
314,779.0,TOYOTA,Sedan,Yes,Hybrid,2.5,225510.0,4.0,Automatic,Front,4-5,Left wheel,White,12,0,0,13
5488,779.0,TOYOTA,Hatchback,No,Petrol,1.5,210000.0,4.0,Manual,Front,4-5,Right-hand drive,Sky blue,3,1,0,25
30063,934.0,HYUNDAI,Universal,Yes,Diesel,2.5,148105.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,11
15800,769.0,CHEVROLET,Jeep,Yes,Diesel,2.2,255456.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,0,15
43952,1249.0,HYUNDAI,Universal,Yes,Diesel,2.5,111643.0,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,0,9
14740,645.0,TOYOTA,Hatchback,No,Hybrid,1.8,288000.0,4.0,Automatic,Front,4-5,Left wheel,White,8,0,0,15
42337,779.0,FORD,Cabriolet,Yes,Petrol,2.3,75000.0,4.0,Tiptronic,Rear,2-3,Left wheel,Silver,6,1,1,10
